modelo,AUC_ROC,AUC_PR,F1,Recall_pos,Prec_pos
GBT Best CV,0.7781,0.223,0.8016,0.6629,0.1372
"GBTClassifier (50 iter, depth=5)",0.7725,0.2111,0.7975,0.6682,0.1352
LinearSVC Best CV,0.7493,0.1501,0.716,0.775,0.111
LinearSVC Best CV,0.7493,0.1501,0.716,0.775,0.111
LinearSVC Best CV,0.7493,0.1501,0.716,0.775,0.111
LinearSVC (regParam=1e-4),0.7471,0.1529,0.6869,0.784,0.1031
Bagging (10 trees),0.72,0.1692,0.7809,0.6132,0.1175
LinearSVC Ridge (regParam=1.0),0.6166,0.0874,0.6004,0.684,0.0753
Baseline DecisionTree,0.4734,0.052,0.7754,0.608,0.1139
